label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09
3	1221 m/s	0.1819	FOOTBALL	Fremont, Santa Clarita, Fresno	0.4284	Tennis	0.6584	88	Los Angeles, Santa Ana	0.6785
2	1079 m/s	0.5138	volleyball	Los Angeles	0.4327	running, golf	0.7765	1140	San Francisco	0.8071
1	830 m/s	0.5483	volleyball	Long Beach, San Diego	0.7751	volleyball, soccer	0.419	1297	Moreno Valley	0.7987
2	1173 m/s	0.5561	track & field	Los Angeles, Moreno Valley, Anaheim	0.5675	baseball	0.434	532	Chula Vista, Fremont, Bakersfield, San Francisco, Santa Clarita	1.2501
3	1124 m/s	0.14	badminton	Chula Vista, Santa Clarita, Bakersfield, Stockton, Fremont	0.5653	tennis	1.0012	654	Riverside	0.469
0	843 m/s	0.5624	tennis	San Jose	0.7317	badminton	0.9396	32	Sacramento	0.6443
1	742 m/s	1.238	track & field	Modesto	0.6568	football	0.7868	573	Moreno Valley	0.7434
4	590 m/s	0.2295	soccer	Sacramento	0.9008	motor sports, ice hockey, basketball	0.3348	1067	Long Beach, Anaheim	1.1521
2	1239 m/s	-0.4405	running	Moreno Valley, Los Angeles	0.301	baseball	0.9515	627	Chula Vista, Fresno, Bakersfield, Fremont	0.4263
1	905 m/s	0.7773	boxing	San Diego	0.7124	football, volleyball	0.8988	680	San Bernardino	0.6373
0	905 m/s	0.1337	basketball	Riverside, Santa Ana, Irvine	0.1903	badminton	0.5254	249	San Diego	1.0562
2	911 m/s	-0.0772	track & field	Moreno Valley	-0.1551	baseball	0.6723	115	Santa Clarita, Fremont, Bakersfield	1.1856
4	214 m/s	0.6075	running	Fresno, San Bernardino, Fremont, Stockton, Chula Vista	0.8846	boxing, basketball	0.3107	483	San Jose, Long Beach, Anaheim	0.327
2	1533 m/s	0.4468	boxing	Moreno Valley	0.2955	golf	1.1786	128	Los Angeles	1.1237
3	801 m/s	0.1443	baseball	Bakersfield, San Bernardino	0.3551	motor sports, boxing, basketball	0.9915	-121	San Diego	0.8558
3	694 m/s	0.024	BASEBALL	Fresno, Bakersfield, San Francisco, Santa Clarita, San Bernardino, Stockton	0.7843	track & field	1.6315	628	Stockton	0.6326
2	1152 m/s	0.2742	track & field	Oakland, Los Angeles	0.594	golf	0.9372	108	Bakersfield, Fremont, Santa Clarita	0.9623
2	1024 m/s	0.5408	track & field	Anaheim, Moreno Valley	0.1312	running	0.614	1082	San Francisco	0.5277
2	1136 m/s	0.2601	track & field	Anaheim, Los Angeles, Moreno Valley	0.3065	baseball, running	1.2803	-411	Santa Clarita, Chula Vista, Bakersfield	0.8385
2	867 m/s	0.3575	VOLLEYBALL	Oakland, Los Angeles, Moreno Valley	0.0598	baseball	1.1686	-154	Santa Clarita, Fresno, Fremont, Chula Vista, Bakersfield	1.2516
1	1482 m/s	0.5619	golf	San Diego, Modesto	0.9061	soccer, football	1.2973	478	San Bernardino	1.2508
1	1232 m/s	0.3915	boxing	Chula Vista, Fremont, San Francisco, Stockton, Bakersfield	1.4544	football, volleyball	0.6353	857	san bernardino	1.0495
0	1111 m/s	1.2361	ice hockey	Santa Ana, Riverside, Irvine	0.1444	badminton	1.1545	-303	San Diego	0.3936
1	891 m/s	0.1931	?	Anaheim	0.6485	volleyball	0.9544	1245	Moreno Valley	0.554
0	752 m/s	0.6657	tennis	San Jose, Riverside	0.6856	badminton	0.9384	396	Sacramento	0.1164
1	1000 m/s	0.4625	golf	San Diego	1.1088	soccer	0.7878	732	San Bernardino	1.051
1	608 m/s	0.5961	golf	Modesto, Long Beach	0.8389	football, volleyball	0.9155	232	Moreno Valley	1.3518
2	1067 m/s	0.4279	volleyball	Oakland, Moreno Valley, Anaheim	0.1824	running	1.2414	?	Fremont	0.9192
1	1290 m/s	0.438	golf	Long Beach, San Diego	0.5603	football	1.1993	823	Moreno Valley	0.5873
4	867 m/s	0.7032	running	Sacramento	1.1062	boxing, basketball, motor sports	-0.2983	1177	Anaheim, Long Beach	1.1992
2	1101 m/s	0.0465	volleyball	Anaheim, Moreno Valley	-0.1587	ice hockey	1.4219	928	Bakersfield, Fresno, Fremont, Chula Vista	0.8932
3	384 m/s	0.5886	baseball	Fremont, Stockton	1.0693	tennis	1.117	1280	Modesto, Riverside, Los Angeles, Stockton	1.163
1	968 m/s	1.1921	boxing	San Diego	1.1235	Football	1.0326	699	Moreno Valley	0.9001
2	938 m/s	0.1951	volleyball	Oakland		baseball, golf	1.0241	250	Chula Vista	0.8028
1	1404 m/s	0.4947	Golf	Sacramento	0.8446	football, volleyball	1.3953	1158	sAN bERNARDINO	0.7538
